cell_specimen_id,ori_dg,tf_dg,osi_dg,dsi_dg,peak_dff_dg,reliability_dg,cv_os_dg,cv_ds_dg,tf_index_dg,run_modulation_dg,response_reliability_nm1,response_reliability_nm3
517472248,3,1,0.412853,0.555849,2.594401,0.011642,0.18455,0.201837,0.269063,,0.026445,0.046089
587375100,1,5,1.667854,0.797406,1.491788,-0.010178,0.803359,0.621142,0.292954,,0.005089,0.036422
517471572,1,1,0.95301,0.30508,1.432735,0.013652,0.332971,0.177375,0.286828,0.607726,0.017503,0.023968
587375452,6,1,0.902982,0.598066,7.225097,0.108321,0.681747,0.376598,0.306507,,0.006567,0.018081
517471477,7,1,1.191618,1.539218,5.843387,0.172359,0.395746,0.426888,0.263233,,0.617703,0.044142
517470228,0,2,8.083939,0.778266,0.542244,-0.004821,0.914749,0.74631,0.231087,,0.01949,0.074312
587375178,0,2,-0.86796,-0.704632,-0.086962,0.055736,,,0.273373,,0.065904,0.037381
517470190,5,1,0.979398,0.762825,3.164049,0.087326,0.651998,0.383494,0.349201,,0.064507,0.051184
517470181,1,3,1.07834,0.444862,146.4577,0.463591,1.0,0.444862,0.42451,,0.073277,0.021959
517471583,3,1,0.307342,0.259562,1.278194,0.007706,0.155104,0.193395,0.19454,,0.004157,0.013348
517472567,5,3,0.244744,0.514656,1.744105,-0.033825,0.048033,0.325364,0.347746,,0.262512,0.096697
587375110,7,4,0.68936,1.2848,2.267735,0.021798,0.413022,0.823947,0.319282,,0.019349,0.013832
517470602,7,1,1.390693,0.766796,4.471868,0.026125,0.890064,0.61742,0.344642,,0.83452,0.221105
517470135,1,2,1.282038,0.203317,7.749747,0.154734,0.889637,0.15406,0.362842,,0.072693,0.315544
517471600,6,1,0.896979,0.224149,9.447848,0.25146,0.714733,0.195804,0.416971,,0.002768,0.010092
517471709,3,1,1.855362,0.251429,3.010481,-0.001453,0.717953,0.081465,0.321436,,0.040529,0.122507
517472032,1,4,0.439217,1.404892,0.727328,-0.025067,0.280413,0.600548,0.176686,,0.01737,0.456619
517471462,5,4,1.268426,0.635307,3.939648,0.029791,0.799589,0.43566,0.338644,,0.006117,0.011052
517470231,6,2,1.567287,3.715348,1.076093,-0.00681,0.888455,0.80025,0.302132,,0.330701,0.477309
517471453,6,1,-0.584563,-0.472874,-0.622318,0.0114,,,0.251752,,0.036976,0.240251
517470324,1,5,-17.425811,1177.1808,0.614748,0.012211,0.848598,0.958136,0.271291,,0.028963,0.367111
587375806,1,2,0.847164,0.842202,7.501314,0.200173,0.59592,0.64734,0.371413,,0.042784,0.115421
517470974,1,4,0.746134,0.87404,1.545276,0.008899,0.565516,0.717824,0.227439,,0.006209,0.047745
517470900,6,2,0.724667,0.991366,2.864845,-0.010078,0.303669,0.613234,0.275137,,0.014503,0.028398
587375811,0,2,0.679915,0.605588,18.217501,0.184854,0.51306,0.441439,0.45771,,0.124411,0.066118
587375796,5,1,0.970903,0.026126,2.996709,0.053057,0.391299,0.104494,0.415647,,0.066645,0.106049
